"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","preference"
0.764,0.683,-7.353,0.0467,0.104,1.37e-05,0.108,0.574,121.979,"negative"
0.629,0.662,-9.259,0.0396,0.0117,0.325,0.118,0.328,150.033,"positive"
0.706,0.32,-11.22,0.0598,0.0729,0.0544,0.188,0.193,116.929,"positive"
0.703,0.716,-5.235,0.0314,0.0983,0.122,0.113,0.112,122.042,"positive"
0.342,0.131,-23.668,0.0327,0.634,0.841,0.0751,0.057,90.07,"positive"
0.707,0.954,-2.082,0.276,0.0879,0,0.176,0.79,127.877,"negative"
0.332,0.977,-5.978,0.353,0.00536,0.489,0.268,0.36,75,"positive"
0.479,0.609,-8.5,0.133,0.499,0,0.144,0.74,75.113,"negative"
0.567,0.758,-3.998,0.095,0.0937,0.00249,0.601,0.242,133.687,"positive"
0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,"positive"
0.443,0.471,-10.765,0.0409,0.153,0.219,0.111,0.0917,119.874,"positive"
0.581,0.737,-8.495,0.0513,0.00162,0.0889,0.156,0.17,174.016,"positive"
0.458,0.575,-5.041,0.0524,0.319,0,0.132,0.188,77.814,"positive"
0.785,0.554,-6.571,0.0409,0.283,3.4e-06,0.116,0.144,128.047,"positive"
0.762,0.835,-5.154,0.0758,0.0908,0.0062,0.148,0.318,145.008,"positive"
0.8,0.464,-8.672,0.0809,0.494,0.00145,0.112,0.634,93.997,"negative"
0.539,0.482,-9.922,0.0568,0.0568,0.591,0.0642,0.0378,125.179,"positive"
0.554,0.702,-6.287,0.0353,0.0273,0.000211,0.152,0.057,139.929,"positive"
0.805,0.534,-9.542,0.206,0.0606,0.753,0.0857,0.566,130.127,"negative"
0.483,0.645,-6.403,0.0834,0.0717,1.1e-06,0.258,0.328,82.374,"positive"
0.791,0.749,-8.744,0.043,0.0213,0.0321,0.079,0.0669,109.997,"positive"
0.643,0.836,-6.724,0.21,0.117,0,0.0791,0.628,147.927,"negative"
0.677,0.705,-10.202,0.0515,0.612,0.000346,0.118,0.835,124.485,"positive"
0.692,0.61,-8.447,0.0433,0.0411,0.512,0.11,0.946,116.999,"positive"
0.676,0.422,-12.914,0.0564,0.0623,0.00166,0.267,0.184,149.945,"positive"
0.44,0.925,-3.726,0.0985,0.195,0.0193,0.133,0.23,155.027,"positive"
0.638,0.955,-2.958,0.162,0.00297,0.181,0.0992,0.515,74.986,"positive"
0.6,0.688,-8.339,0.201,0.159,1.29e-05,0.409,0.0793,99.977,"negative"
0.712,0.664,-5.649,0.0467,0.147,0,0.244,0.537,149.997,"negative"
0.932,0.47,-12.392,0.151,0.491,0.000173,0.194,0.854,132.986,"negative"
0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,"negative"
0.144,0.778,-4.668,0.0411,5.94e-05,0.354,0.124,0.0461,82.771,"positive"
0.274,0.896,-8.626,0.123,0.0451,0.000218,0.45,0.571,166.051,"positive"
0.25,0.879,-5.621,0.0544,0.00209,0.0024,0.276,0.704,166.736,"positive"
0.749,0.916,-4.749,0.101,0.0601,0,0.54,0.93,128.056,"negative"
0.372,0.376,-10.643,0.0565,0.788,0.0161,0.0877,0.141,145.124,"positive"
0.776,0.22,-9.429,0.0594,0.512,0.904,0.0988,0.517,76.02,"positive"
0.914,0.732,-6.1,0.241,0.0166,0,0.107,0.469,94.066,"negative"
0.507,0.367,-14.82,0.184,0.562,0.786,0.107,0.168,100.08,"positive"
0.835,0.643,-5.195,0.0975,0.0214,0.00867,0.0471,0.333,100.025,"negative"
0.564,0.765,-7.392,0.0343,0.000185,0.000453,0.0413,0.849,161.042,"negative"
0.88,0.582,-7.792,0.18,0.00197,0.00923,0.243,0.486,119.988,"positive"
0.811,0.636,-5.143,0.048,0.0635,0.815,0.629,0.917,134.028,"positive"
0.532,0.874,-5.183,0.0482,0.00842,0.012,0.452,0.361,91.038,"positive"
0.542,0.702,-5.694,0.0822,0.0934,0.00434,0.49,0.28,135.988,"positive"
0.525,0.624,-6.309,0.0317,0.0475,6.68e-05,0.157,0.351,116.299,"negative"
0.693,0.683,-9.74,0.0454,0.0335,0.12,0.169,0.193,123.951,"positive"
0.542,0.654,-8.532,0.147,0.0695,0.877,0.635,0.0991,93.008,"positive"
0.845,0.577,-10.596,0.0597,0.00326,0.85,0.0487,0.319,120.004,"positive"
0.713,0.452,-9.638,0.0295,0.841,0.0038,0.105,0.235,102.963,"positive"
0.306,0.414,-8.105,0.0434,0.189,0.00707,0.0684,0.0383,140.105,"positive"
0.762,0.633,-5.934,0.0676,0.373,0,0.0729,0.723,132.978,"negative"
0.271,0.149,-19.114,0.0345,0.857,0.933,0.246,0.146,131.345,"positive"
0.623,0.498,-9.835,0.16,0.233,0.198,0.0712,0.302,139.647,"positive"
0.714,0.8,-4.808,0.0504,0.127,0,0.359,0.589,134.002,"negative"
0.151,0.103,-22.221,0.0412,0.918,0.852,0.0756,0.036,97.5,"positive"
0.488,0.863,-4.577,0.0855,0.0435,6.45e-06,0.109,0.253,144.938,"positive"
0.787,0.49,-7.063,0.13,0.0259,0,0.0456,0.1,131.034,"negative"
0.784,0.654,-7.756,0.152,0.653,0.883,0.163,0.371,144.043,"positive"
0.213,0.00674,-34.759,0.0458,0.924,0.787,0.0951,0.0375,119.707,"positive"
0.242,0.0736,-25.265,0.0348,0.965,0.825,0.104,0.0728,81.354,"positive"
0.833,0.639,-3.825,0.0881,0.0392,4.24e-05,0.162,0.653,146.996,"positive"
0.809,0.872,-4.729,0.0792,0.00581,0.545,0.0637,0.969,123.996,"negative"
0.734,0.808,-5.014,0.0823,0.196,0.879,0.372,0.0687,150.052,"positive"
0.841,0.528,-7.862,0.278,0.502,7.45e-06,0.16,0.347,99.991,"negative"
0.518,0.448,-17.633,0.0388,0.023,0.896,0.0917,0.0392,135.023,"positive"
0.724,0.772,-4.015,0.0328,0.00824,0.00454,0.0654,0.932,130.007,"negative"
0.407,0.558,-13.609,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,"negative"
0.753,0.8,-6.473,0.371,0.131,0.00269,0.451,0.606,84.015,"positive"
0.279,0.573,-7.34,0.0496,0.14,0.0483,0.264,0.0579,141.98,"positive"
0.469,0.343,-10.608,0.0381,0.881,0.000118,0.0735,0.22,93.276,"positive"
0.569,0.758,-5.77,0.0937,0.0167,0,0.317,0.569,74.939,"positive"
0.64,0.746,-4.552,0.424,0.00744,0,0.103,0.179,131.892,"negative"
0.884,0.559,-7.442,0.12,0.0236,0,0.101,0.342,97.994,"negative"
0.709,0.76,-5.909,0.408,0.0683,1.07e-05,0.156,0.89,104.557,"negative"
0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,"negative"
0.745,0.506,-6.919,0.128,0.0135,0.0937,0.167,0.325,145.041,"negative"
0.656,0.565,-11.195,0.0323,0.481,0.951,0.313,0.21,122.934,"positive"
0.663,0.839,-5.618,0.0453,0.00552,0.369,0.189,0.202,108.024,"positive"
0.437,0.498,-6.947,0.0477,0.146,8.71e-05,0.131,0.285,154.046,"positive"
0.816,0.75,-0.507,0.35,0.0926,0.0123,0.0592,0.718,86.711,"positive"
0.202,0.944,-6.798,0.165,0.102,0.00192,0.355,0.641,196.771,"positive"
0.418,0.632,-3.823,0.0309,0.0542,0,0.0746,0.222,174.951,"positive"
0.5,0.586,-9.641,0.283,0.605,0.0124,0.194,0.172,160.179,"positive"
0.663,0.397,-8.919,0.0397,0.00145,0.909,0.11,0.243,123.049,"positive"
0.643,0.512,-8.655,0.0359,0.581,0.0152,0.0992,0.16,132.03,"positive"
0.56,0.302,-12.921,0.0278,0.219,0.881,0.0846,0.0482,102,"positive"
0.789,0.711,-4.248,0.041,0.0332,0,0.0876,0.753,112.985,"negative"
0.558,0.501,-7.809,0.0745,0.569,0,0.0793,0.0393,116.086,"negative"
0.549,0.601,-7.048,0.126,0.34,0,0.121,0.194,180.117,"negative"
0.554,0.818,-6.864,0.0362,0.0779,0.0106,0.341,0.512,142.339,"positive"
0.7,0.829,-5.418,0.202,0.0823,0,0.323,0.892,90.048,"negative"
0.556,0.806,-5.268,0.0796,0.0245,0.773,0.263,0.0689,79.925,"positive"
0.75,0.608,-4.008,0.0387,0.00165,0,0.178,0.958,132.507,"negative"
0.253,0.967,-5.509,0.176,0.00819,1.6e-05,0.651,0.342,166.729,"positive"
0.802,0.776,-6.6,0.12,0.011,0.865,0.419,0.09,132.006,"positive"
0.728,0.531,-6.485,0.113,0.568,0.000425,0.123,0.552,96.98,"negative"
0.856,0.618,-4.892,0.286,0.0303,0,0.0866,0.391,81.993,"negative"
0.625,0.895,-4.193,0.0563,0.00355,0.163,0.134,0.0251,130.058,"positive"
